,"icon01_nx_[12, 1]","icon01_ny_[12, 1]","icon02_nx_[12, 1]","icon02_ny_[12, 1]","icon03_nx_[12, 1]","icon03_ny_[12, 1]","icon04_nx_[12, 1]","icon04_ny_[12, 1]","icon05_nx_[12, 1]","icon05_ny_[12, 1]","icon06_nx_[12, 1]","icon06_ny_[12, 1]","icon07_nx_[12, 1]","icon07_ny_[12, 1]","icon08_nx_[12, 1]","icon08_ny_[12, 1]","icon11_nx_[12, 1]","icon11_ny_[12, 1]","icon15_nx_[12, 1]","icon15_ny_[12, 1]",cluster_label,date
148,0.371843512,0.540670662,0.922922313,2.280323659,-0.349066171,0.398219476,-0.069853742,0.298558051,0.176550449,-0.10427553,-1.318247687,0.083660335,0.051480712,-0.412698352,-0.120280067,-0.090383408,-0.668246132,1.047606593,-0.278407062,0.144770489,2,2015/06
149,0.419655139,0.342625684,1.166338277,2.085669472,0.119711887,0.362021516,-0.118536935,0.245912223,0.204627328,-0.120192005,-0.578723842,0.055559786,0.175492118,-0.393682086,-0.018369087,-0.072164232,-0.471956993,1.124860961,-0.336179444,0.194088788,2,2015/07
150,0.417787497,0.343814991,1.399170939,1.712138399,-0.034866588,0.274050728,0.319549545,0.14850289,0.187320515,-0.132464645,-0.097619348,0.091479398,0.050360127,-0.3799924,0.040835154,-0.098215124,-0.2597929,1.143383791,0.092444319,0.315246311,2,2015/08
151,0.326148546,0.257995079,0.916323313,1.5813652,0.838691674,0.115417372,0.557487094,0.025371623,0.108007999,-0.119610004,0.11354867,0.134054071,-0.286437921,-0.356294818,0.00030733,-0.124417842,-0.284819298,1.20211533,0.003108792,0.155018776,2,2015/09
152,-0.076639507,0.353038449,0.561907179,1.326853427,0.837633344,-0.098037993,0.480415748,-0.103389876,-0.534087206,-0.001387792,0.043698871,0.173592214,-0.600139466,-0.364202447,-0.069106685,-0.116168604,-0.322856933,1.12806197,-0.10515217,0.141430307,2,2015/10
153,-0.429499272,0.396144515,0.174309279,1.243057868,0.697871493,-0.192372839,0.254680125,-0.18589491,-0.956049713,0.184131502,-0.378512655,0.264789314,-0.593851739,-0.109690674,-0.149353022,-0.083146346,-0.434541905,1.48425952,-0.310592753,0.161458749,2,2015/11
154,-0.371789145,0.476068499,0.286865816,1.207290082,0.570685095,-0.312518186,0.080491412,-0.205303394,-0.976905045,0.302923062,-0.817097173,0.430153644,-0.872939659,-0.080008599,-0.21721067,-0.053527533,-0.571128766,1.608074006,-0.579844427,0.315752399,2,2015/12
155,-0.243295398,0.476599892,0.414550252,1.150000894,0.117532972,-0.340757909,-0.09936248,-0.292932571,-0.890682255,0.479560508,-0.655359405,0.589027392,-0.950135515,0.251820803,-0.320242235,-0.014938305,-0.524624488,1.565094463,-0.572871898,0.411023509,2,2016/01
156,0.014750425,0.463201206,0.692455332,1.074328051,0.034236153,-0.347134621,-0.119968793,-0.264844674,-0.703669069,0.591583138,-0.627531544,0.691371085,-0.871134272,0.456558797,-0.389033703,0.000636561,-0.504765232,1.584224598,-0.533589168,0.538216134,2,2016/02
157,0.185515129,0.422170102,0.833026494,0.834644664,-0.005855888,-0.359597044,0.287239345,-0.278863318,-0.488205476,0.675353393,-0.012828417,0.742005213,-0.834715259,0.573288048,-0.34825686,0.148806543,0.002984283,1.562652587,-0.374839626,0.600464987,2,2016/03
158,0.36785921,0.348382438,1.36412153,0.629299364,-0.055410647,-0.371705205,0.316499064,-0.330256578,0.126248633,0.662992188,0.070032619,0.658766351,-0.174317166,0.599554028,-0.249334106,0.248607143,0.269060966,1.516421427,-0.103284528,0.619962036,2,2016/04
159,0.357338162,0.296976525,1.341274047,0.384517138,-0.168091694,-0.343364264,0.32421865,-0.381649839,0.414986035,0.61247193,0.072647317,0.651655811,0.05621207,0.583257987,-0.046010183,0.264295878,0.392387571,1.432157737,-0.025715144,0.611396492,2,2016/05
160,0.318117687,0.327468341,1.933005182,-0.281115411,-0.181600969,-0.245094581,0.155695117,-0.43758524,0.611710957,0.538254091,-0.013077435,0.64545623,0.168083806,0.585383557,0.113922198,0.234563194,0.681872029,1.347894046,-0.200650914,0.632297936,2,2016/06
161,0.159990692,0.321825458,1.939292909,-0.652660087,-0.360583295,-0.179303111,-0.05572192,-0.46609066,0.529721488,0.385326879,-0.520266657,0.620126514,0.362629813,0.538570396,0.263644805,0.198643582,0.658713272,1.09278762,-0.216650377,0.619898775,2,2016/07
162,0.01151318,0.1250457,1.932507144,-0.990486635,-0.546289131,-0.053021444,-0.285317336,-0.421845896,0.516897015,0.291472816,-1.067361156,0.76309644,0.338661745,0.469223656,0.295270204,0.109344313,0.591540427,1.034018124,-0.428503197,0.652313726,2,2016/08
163,0.088460017,0.1250457,1.924102756,-1.287307384,-0.433857103,0.034772212,-0.515410789,-0.261706927,0.563214528,0.133902245,-0.795681549,0.965177472,0.273356542,0.406886237,0.279208485,0.009847366,0.414612506,0.922235885,-0.734609666,0.736476199,2,2016/09
